Topic,Week,due_date,Reading,ReadingLink,slide_icon,slide_link,activity_icon,activity_link,submit_icon,submit_link,tutorial_icon,tutorial_link,solution_icon,solution_link,callout,agenda1,agenda2,agenda3,agenda4,agenda5
Normal Distributions,Week 5,7/21/2023,[Sections 9.0 - 9.1],(https://nustat.github.io/intro-stat-data-sci/09-sampling-distributions.html),[{fontawesome::fa('clipboard')}],(/slides/lec14.html),[{fontawesome::fa('r-project')} act_14],(https://posit.cloud/spaces/321338/content/5176492),[{fontawesome::fa('file-arrow-up')} act_14],(https://canvas.northwestern.edu/courses/188815/assignments/1221219),[{fontawesome::fa('file-arrow-up')} RC_14],(https://canvas.northwestern.edu/courses/192604/assignments/1244682),[Activity 14 Solution],(/documents/solutions/solution_act_14.pdf),,[Activity 14 Worksheet](/documents/act_14_worksheet.pdf),,,,
Sampling Distributions,Week 5,7/21/2023,[Sections 9.2 - 9.3],(https://nustat.github.io/intro-stat-data-sci/09-sampling-distributions.html),[{fontawesome::fa('clipboard')}],(/slides/lec15.html),[{fontawesome::fa('r-project')} act_15],(https://posit.cloud/spaces/321338/content/5176493),[{fontawesome::fa('file-arrow-up')} act_15],(https://canvas.northwestern.edu/courses/188815/assignments/1221220),[{fontawesome::fa('file-arrow-up')} RC_15],(https://canvas.northwestern.edu/courses/192604/assignments/1244683),[Activity 15 Solution],(/documents/solutions/solution_act_15.html),,[App for Activity 15](https://amkuyper.shinyapps.io/activity_15/),,,,
Sampling Distributions,Week 5,7/21/2023,[Sections 9.4 - 9.7],(https://nustat.github.io/intro-stat-data-sci/09-sampling-distributions.html),[{fontawesome::fa('clipboard')}],(/slides/lec16.html),[{fontawesome::fa('r-project')} act_16],(https://posit.cloud/spaces/321338/content/5176494),[{fontawesome::fa('file-arrow-up')} act_16],(https://canvas.northwestern.edu/courses/188815/assignments/1221221),[{fontawesome::fa('file-arrow-up')} RC_16],(https://canvas.northwestern.edu/courses/192604/assignments/1244684),[Activity 16 Solution],(/documents/solutions/solution_act_16.html),,[App for Activity 16](https://amkuyper.shinyapps.io/activity_16/),,,,
Confidence Intervals,Week 5,7/21/2023,[Chapter 10],(https://nustat.github.io/intro-stat-data-sci/10-confidence-intervals.html),[{fontawesome::fa('clipboard')}],(/slides/lec17.html),[{fontawesome::fa('r-project')} act_17],(https://posit.cloud/spaces/321338/content/5176495),,,[{fontawesome::fa('file-arrow-up')} RC_17],(https://canvas.northwestern.edu/courses/192604/assignments/1244685),,,,,,,,
Confidence Intervals,Week 5,7/21/2023,,,[{fontawesome::fa('clipboard')}],(/slides/lec18.html),[{fontawesome::fa('r-project')} act_17 (cont'd)],(https://posit.cloud/spaces/321338/content/5176495),[{fontawesome::fa('file-arrow-up')} act_17],(https://canvas.northwestern.edu/courses/188815/assignments/1221222),,,[Activity 17 Solution],(/documents/solutions/solution_act_17.html),,,,,,
P-values,Week 6,7/26/2023,[Chapter 11],(https://nustat.github.io/intro-stat-data-sci/11-p-values.html),[{fontawesome::fa('clipboard')}],(/slides/lec19.html),[{fontawesome::fa('r-project')} act_18],(https://posit.cloud/spaces/321338/content/5176496),[{fontawesome::fa('file-arrow-up')} act_18],(https://canvas.northwestern.edu/courses/188815/assignments/1221223),[{fontawesome::fa('file-arrow-up')} RC_18],(https://canvas.northwestern.edu/courses/192604/assignments/1244686),[Activity 18 Solution],(/documents/solutions/solution_act_18.html),,,,,,
Hypothesis Testing I,Week 6,7/26/2023,[Chapter 12],(https://nustat.github.io/intro-stat-data-sci/12-hypothesis-tests.html),[{fontawesome::fa('clipboard')}],(/slides/lec20.html),[{fontawesome::fa('r-project')} act_19],(https://posit.cloud/spaces/321338/content/5176497),[{fontawesome::fa('file-arrow-up')} act_19],(https://canvas.northwestern.edu/courses/188815/assignments/1221224),[{fontawesome::fa('file-arrow-up')} RC_19],(https://canvas.northwestern.edu/courses/192604/assignments/1244687),[Activity 19 Solution],(/documents/solutions/solution_act_19.html),,,,,,
Hypothesis Testing II,Week 6,7/26/2023,,,[{fontawesome::fa('clipboard')}],(/slides/lec21.html),[{fontawesome::fa('r-project')} act_20],(https://posit.cloud/spaces/321338/content/5176498),,,,,,,,,,,,
Hypothesis Testing III,Week 6,7/26/2023,,,,,[{fontawesome::fa('r-project')} act_20 (cont'd)],(https://posit.cloud/spaces/321338/content/5176498),[{fontawesome::fa('file-arrow-up')} act_20],(https://canvas.northwestern.edu/courses/188815/assignments/1221225),,,[Activity 20 Solution],(/documents/solutions/solution_act_20.html),Study for Exam 3,,,,,
Exam 3,Week 6,7/28/2023,,,,,,,,,,,,,,,,,,
