"Topic","Week","due_date","Reading","callout","agenda1","agenda2","agenda3","agenda4","agenda5","Slides","Activity","submit_act","Tutorial","Solutions","reading_hw"
"Basic Regression","Week 3",2023-07-07,"[Sections 5.2 - 5.4](https://nustat.github.io/intro-stat-data-sci/05-regression.html)","","","","","","","[{fontawesome::fa('clipboard')}](/slides/lec09.html)","[{fontawesome::fa('r-project')} act_09](https://posit.cloud/spaces/321338/content/5176487)","[{fontawesome::fa('file-arrow-up')} act_09](https://canvas.northwestern.edu/courses/192604/assignments/1244642)","[{fontawesome::fa('file-arrow-up')} RC_09](https://canvas.northwestern.edu/courses/192604/assignments/1244677)","[Activity 9 Solution](/documents/solutions/solution_act_09.html)","[Sections 6.0 - 6.1](https://nustat.github.io/intro-stat-data-sci/06-multiple-regression.html)"
"Multiple Regression","Week 3",2023-07-07,"[Sections 6.0 - 6.1](https://nustat.github.io/intro-stat-data-sci/06-multiple-regression.html)","","","","","","","[{fontawesome::fa('clipboard')}](/slides/lec10.html)","[{fontawesome::fa('r-project')} act_10](https://posit.cloud/spaces/321338/content/5176488)","[{fontawesome::fa('file-arrow-up')} act_10](https://canvas.northwestern.edu/courses/192604/assignments/1244643)","[{fontawesome::fa('file-arrow-up')} RC_10](https://canvas.northwestern.edu/courses/192604/assignments/1244678)","[Activity 10 Solution](/documents/solutions/solution_act_10.html)","[Sections 6.2 - 6.4](https://nustat.github.io/intro-stat-data-sci/06-multiple-regression.html)"
"Multiple Regression","Week 3",2023-07-07,"[Sections 6.2 - 6.4](https://nustat.github.io/intro-stat-data-sci/06-multiple-regression.html)","","","","","","","[{fontawesome::fa('clipboard')}](/slides/lec11.html)","[{fontawesome::fa('r-project')} act_11](https://posit.cloud/spaces/321338/content/5176489)","[{fontawesome::fa('file-arrow-up')} act_11](https://canvas.northwestern.edu/courses/192604/assignments/1244644)","[{fontawesome::fa('file-arrow-up')} RC_11](https://canvas.northwestern.edu/courses/192604/assignments/1244679)","[Activity 11 Solution](/documents/solutions/solution_act_11.html)","[Chapter 7](https://nustat.github.io/intro-stat-data-sci/07-causality.html)"
"Randomization & Causality","Week 4",2023-07-11,"[Chapter 7](https://nustat.github.io/intro-stat-data-sci/07-causality.html)","","[App for Activity 12](https://amkuyper.shinyapps.io/activity_12/)","","","","","[{fontawesome::fa('clipboard')}](/slides/lec12.html)","[{fontawesome::fa('r-project')} act_12](https://posit.cloud/spaces/321338/content/5176490)","[{fontawesome::fa('file-arrow-up')} act_12](https://canvas.northwestern.edu/courses/192604/assignments/1244645)","[{fontawesome::fa('file-arrow-up')} RC_12](https://canvas.northwestern.edu/courses/192604/assignments/1244680)","[Activity 12 Solution](/documents/solutions/solution_act_12.html)","[Chapter 8](https://nustat.github.io/intro-stat-data-sci/08-populations.html)"
"Pop & Generalizability","Week 4",2023-07-11,"[Chapter 8](https://nustat.github.io/intro-stat-data-sci/08-populations.html)","","[App for Activity 13](https://amkuyper.shinyapps.io/activity_13/)","","","","","[{fontawesome::fa('clipboard')}](/slides/lec13.html)","[{fontawesome::fa('r-project')} act_13](https://posit.cloud/spaces/321338/content/5176491)","[{fontawesome::fa('file-arrow-up')} act_13](https://canvas.northwestern.edu/courses/192604/assignments/1244646)","[{fontawesome::fa('file-arrow-up')} RC_13](https://canvas.northwestern.edu/courses/192604/assignments/1244681)","[Activity 13 Solution](/documents/solutions/solution_act_13.html)",""
"Exam 2","Week 4",2023-07-14,"","","","","","","","","","","","","[Sections 9.0 - 9.1](https://nustat.github.io/intro-stat-data-sci/09-sampling-distributions.html)"
"Normal Distributions","Week 5",2023-07-11,"[Sections 9.0 - 9.1](https://nustat.github.io/intro-stat-data-sci/09-sampling-distributions.html)","","[Activity 14 Worksheet](/documents/act_14_worksheet.pdf)","","","","","[{fontawesome::fa('clipboard')}](/slides/lec14.html)","[{fontawesome::fa('r-project')} act_14](https://posit.cloud/spaces/321338/content/5176492)","[{fontawesome::fa('file-arrow-up')} act_14](https://canvas.northwestern.edu/courses/188815/assignments/1221219)","[{fontawesome::fa('file-arrow-up')} RC_14](https://canvas.northwestern.edu/courses/192604/assignments/1244682)","[Activity 14 Solution](/documents/solutions/solution_act_14.pdf)","[Sections 9.2 - 9.3](https://nustat.github.io/intro-stat-data-sci/09-sampling-distributions.html)"
"Sampling Distributions","Week 5",2023-07-21,"[Sections 9.2 - 9.3](https://nustat.github.io/intro-stat-data-sci/09-sampling-distributions.html)","","[App for Activity 15](https://amkuyper.shinyapps.io/activity_15/)","","","","","[{fontawesome::fa('clipboard')}](/slides/lec15.html)","[{fontawesome::fa('r-project')} act_15](https://posit.cloud/spaces/321338/content/5176493)","[{fontawesome::fa('file-arrow-up')} act_15](https://canvas.northwestern.edu/courses/188815/assignments/1221220)","[{fontawesome::fa('file-arrow-up')} RC_15](https://canvas.northwestern.edu/courses/192604/assignments/1244683)","[Activity 15 Solution](/documents/solutions/solution_act_15.html)","[Sections 9.4 - 9.7](https://nustat.github.io/intro-stat-data-sci/09-sampling-distributions.html)"
"Sampling Distributions","Week 5",2023-07-21,"[Sections 9.4 - 9.7](https://nustat.github.io/intro-stat-data-sci/09-sampling-distributions.html)","","[App for Activity 16](https://amkuyper.shinyapps.io/activity_16/)","","","","","[{fontawesome::fa('clipboard')}](/slides/lec16.html)","[{fontawesome::fa('r-project')} act_16](https://posit.cloud/spaces/321338/content/5176494)","[{fontawesome::fa('file-arrow-up')} act_16](https://canvas.northwestern.edu/courses/188815/assignments/1221221)","[{fontawesome::fa('file-arrow-up')} RC_16](https://canvas.northwestern.edu/courses/192604/assignments/1244684)","[Activity 16 Solution](/documents/solutions/solution_act_16.html)","[Chapter 10](https://nustat.github.io/intro-stat-data-sci/10-confidence-intervals.html)"
"Confidence Intervals","Week 5",2023-07-21,"[Chapter 10](https://nustat.github.io/intro-stat-data-sci/10-confidence-intervals.html)","","","","","","","[{fontawesome::fa('clipboard')}](/slides/lec17.html)","[{fontawesome::fa('r-project')} act_17](https://posit.cloud/spaces/321338/content/5176495)","","[{fontawesome::fa('file-arrow-up')} RC_17](https://canvas.northwestern.edu/courses/192604/assignments/1244685)","",""
"Confidence Intervals","Week 5",2023-07-21,"","","","","","","","[{fontawesome::fa('clipboard')}](/slides/lec18.html)","[{fontawesome::fa('r-project')} act_17 (cont'd)](https://posit.cloud/spaces/321338/content/5176495)","[{fontawesome::fa('file-arrow-up')} act_17](https://canvas.northwestern.edu/courses/188815/assignments/1221222)","","[Activity 17 Solution](/documents/solutions/solution_act_17.html)","[Chapter 11](https://nustat.github.io/intro-stat-data-sci/11-p-values.html)"
"P-values","Week 6",2023-07-21,"[Chapter 11](https://nustat.github.io/intro-stat-data-sci/11-p-values.html)","","","","","","","[{fontawesome::fa('clipboard')}](/slides/lec19.html)","[{fontawesome::fa('r-project')} act_18](https://posit.cloud/spaces/321338/content/5176496)","[{fontawesome::fa('file-arrow-up')} act_18](https://canvas.northwestern.edu/courses/188815/assignments/1221223)","[{fontawesome::fa('file-arrow-up')} RC_18](https://canvas.northwestern.edu/courses/192604/assignments/1244686)","[Activity 18 Solution](/documents/solutions/solution_act_18.html)","[Chapter 12](https://nustat.github.io/intro-stat-data-sci/12-hypothesis-tests.html)"
"Hypothesis Testing I","Week 6",2023-07-21,"[Chapter 12](https://nustat.github.io/intro-stat-data-sci/12-hypothesis-tests.html)","","","","","","","[{fontawesome::fa('clipboard')}](/slides/lec20.html)","[{fontawesome::fa('r-project')} act_19](https://posit.cloud/spaces/321338/content/5176497)","[{fontawesome::fa('file-arrow-up')} act_19](https://canvas.northwestern.edu/courses/188815/assignments/1221224)","[{fontawesome::fa('file-arrow-up')} RC_19](https://canvas.northwestern.edu/courses/192604/assignments/1244687)","[Activity 19 Solution](/documents/solutions/solution_act_19.html)",""
"Hypothesis Testing II","Week 6",2023-07-21,"","","","","","","","[{fontawesome::fa('clipboard')}](/slides/lec21.html)","[{fontawesome::fa('r-project')} act_20](https://posit.cloud/spaces/321338/content/5176498)","","","",""
"Hypothesis Testing III","Week 6",2023-07-21,"","Study for Exam 3","","","","","","","[{fontawesome::fa('r-project')} act_20 (cont'd)](https://posit.cloud/spaces/321338/content/5176498)","[{fontawesome::fa('file-arrow-up')} act_20](https://canvas.northwestern.edu/courses/188815/assignments/1221225)","","[Activity 20 Solution](/documents/solutions/solution_act_20.html)",""
"Exam 3","Week 6",2023-07-28,"","","","","","","","","","","","",""
